sentence,aspect,sentiment
Not sure if commons-configuration can be configured to actually use this syntax for writing.,functional,NEG
"Is now working fine for me, after a long struggle I found that my code is using latest version of commons-configuration.jar but when I added Esapi as a dependency the Esapi used an old version of the same and that was not compatible with my code so I just excluded the this from Esapi dependency using the exclusion in pom and it worked for me.",compatibility,NEG
commons-configuration 1.8 continues to use commons-lang 2.6. Hence you need this version as well.,usability,NEG
"ConfigException occurs because from version 1.3.0, com.typesafe.config library is only compatible with JDK8; see README.",compatibility,NEG
"use commons-digester-1.8.jar with tiles 2.2.2, the version 2.0 of commons-digester is buggy regarding sax.",reliability,NEG
"Problem appears to have been caused by an incompatibility between commons-digester 1.6 and xerces (call in XercesParser says 2.2), moving to a more recent version of xerces (2.7.1) has fixed the problem.",compatibility,NEG
"The standard W3C DOM API that you use was intended to have a common API between Java, C++ and JavaScript IIRC, so it's very complicated to use directly, as you have noticed.",usability,NEG
Original version of Mockito did not have this feature to promote simple mocking.,functional,NEG
"In theory, the stack should always be empty outside of a call to when or verify, but Mockito can't check that automatically.",functional,NEG
The stack changes often enough that Mockito can't police it very carefully.,reliability,NEG
I had the same issue and played around with the timeout argument http://javadoc.io/page/org.mockito/mockito-core/latest/org/mockito/Mockito.html#22 but with argument 0 like in,reliability,NEG
Seems mockito-all is incompatible with JUnit 4.11 for backwards-compatibility reasons.,compatibility,NEG
You should not use mockito-all with junit 4.8.2-v370.,compatibility,NEG
Mockito does not throw anything when injection fails - you will have to satisfy the dependencies manually.,usability,NEG
"Also for powermock, either upgrade to version 1.6.4 (just released) ; there's an issue (#14) on powermock github repository that changes the dependency to mockito-core.",reliability,NEG
However I'm not sure future mockito 2.x beta will be compatible with current (1.6.x) powermock version.,compatibility,NEG
The reason for the clash is that JUnit comes with its own org.hamcrest.Matcher class that is being used instead of the one imported in your code.,compatibility,NEG
JUnit 5 actually has limited support for JUnit 4 rules but because the MockitoRule's type does not extend one of the supported types it is not included.,compatibility,NEG
"org.mockito.runners.MockitoJUnitRunner is now indeed deprecated, you are supposed to use org.mockito.junit.MockitoJUnitRunner instead.",usability,NEG
"And you can find then ... that anyVarArg() is deprecated, and to use any() for that, too!",usability,NEG
In other words: the mocks generated by Mockito do not allow you to do enhanced testing at the point when methods are invoked on mocked objects.,functional,NEG
"The conflict was in the pom.xml, because I had both mockito-all and mockito-core dependencies included.",compatibility,NEG
"But Mockito cannot instantiate inner classes, local classes, abstract classes and interfaces.",functional,NEG
Also read this Mockito : thenAnswer Vs thenReturn - thenReturn is intended for mocking constant result and cannot work in dynamic way.,functional,NEG
Do not use ArgumentCaptor for stubbing - There is warning in Mockito javadoc.,functional,NEG
"For example, mockito-all contains a repackaged version of Hamcrest, which could conflict with any other version of Hamcrest a project wants to use (and likely won't cause the hard-to-fix problems until runtime!).",compatibility,NEG
As already stated above there is a compatibility issue with mockito-all,compatibility,NEG
You're right mocking the annotation processing API (with a mock library like easymock) is painful.,usability,NEG
Sounds kind of funky to me and I'm not sure if the approach would work with mock objects created with easymock.,usability,NEG
"There is no way you can write Map<String, String> map = getMap(""abc""); without a cast The problem has more to do with easymock and the types returned/expected by the expect and andReturn methods, which I'm not familiar with.",usability,NEG
But it works only with easymock or mockito.,compatibility,NEG
Also there can be a problem in constructing mock via powermock and verify them by easymock so try:,reliability,NEG
You will have to use PowerMock along with easymock to mock the static methods.,functional,NEG
As you pointed out there is no way to mock a static method with easymock.,functional,NEG
"Though it is hard to stay away from these CG lib based mocking libraries, my team has opted for just the easymock, which has reduced our productivity to a great extent.",usability,NEG
"Another possibility is to use easymock to mock the appender, but I think this is more difficult, because you can't produce easily the expected LogEvent.",usability,NEG
"You can't do this with easymock, as it doesn't support mocking constructors.",functional,NEG
"powermock-api-support seems to be ""utility classes only"", where you still need the core libraries provided in powermock-module-junit4.",usability,NEG
