sentence,oracle_aspect,oracle_sentiment,predicted_aspect,predicted_sentiment
"D'oh, it looks like it's not possible (or rather, not as easy): JsoSplittable is marked @GwtScriptOnly which makes it unusable in DevMode (and probably what causes the exception).",usability,NEG,reliability,NEG
"I'm getting the following error when using an CODETERM1 to de-serialize an object: 
JSONMappingException Can not construct instance of org.springframework.data.Page, problem: abstract types can only be instantiated with additional type information.",reliability,NEG,reliability,NEG
I'm working with GWT and I'm getting a CODETERM1 Exception at runtime when I try to parse JSON.,functional,NEG,reliability,NEG
It is a bug in jersey?Is there a way to make it always serialize as an array?,reliability,NEG,reliability,NEG
"It seems that when Spring used Jackson to serialize one of my hibernate entities into it's JSON version, hibernate was trying to lazy load one of that entity's properties, but since the entity was outside of its transaction at that point (being ""in"" the controller), it caused an exception, which just got swallowed up.",reliability,NEG,reliability,NEG
Must be some kind of problem with serializing/deserializing of JSONObjects in jersey.,reliability,NEG,reliability,NEG
Serializing Jersey exceptions from filter throws error.,reliability,NEG,reliability,NEG
"The problem is that due to bi-directional relationships and a self relationship (employee reportsTo employee), I am receiving a JsonMappingException: Infinite recursion I tried using @JsonIgnore but spring/jackson still attempt to include the attributes ( URL_http://stackoverflow.com/questions/3325387 [Infinite- Recursion-with-Jackson-JSON-and-Hibernate-JPA-issue] ) Any idea why CODETERM1 is not kicking in?",reliability,NEG,reliability,NEG
"There's not a ""problem"" with Jersey or Gson ... the web service is basically broken and not returning consistently.",reliability,NEG,reliability,NEG
This is adapted from a bug report for Jackson here: URL_https://jira.springsource.org/browse/SPR-10552 [ URL_https://jira.springsource.org/browse/SPR-10552 ] CODESNIPPET_JAVA1 .,reliability,NEG,reliability,NEG
I hope this is not a Jackson or Jersey bug.,reliability,NEU,reliability,POS
problem is fixed with the jersey-bundle-1.8.jar file.,reliability,POS,reliability,NEG
This problem is fixed with jersey-bundle-1.8.jar .,reliability,POS,reliability,NEG
"Being relatively new to Jersey, I am sure this problem has been solved.",none,,reliability,NEG
"But when running it I am getting ""SEVERE: Allocate exception for servlet Jersey REST Servicejava.lang.ClassNotFoundException: org.json.JSONArray"".",none,,reliability,NEG
Could this be a bug in the gwt dev mode?,none,,reliability,NEG
Error 406 in a simple request using Spring 3 and Jackson 1.9.,none,,reliability,POS
"Error:

TypeError: Cannot read property 'length' of undefined at java_math_BigDecimal_$initFrom__Ljava_math_BigDecimal_2Ljava_lang_String_2 How to handle BigDecimal into GWT while deserializing with AutoBean?",none,,reliability,NEG
Getting the following exception on trying to make get request from a GWT servlet.,none,,reliability,NEG
How can I intercept a parse error in my Jersey REST application?,none,,reliability,NEG
I have added jersey-json dependency but the problem's still the same.,none,,reliability,NEG
So my question is whether these log messages indicate a (potential) problem with the way we are configuring or using Jersey.,none,,reliability,NEG
The problem must be in Jersey's serialization...,none,,reliability,NEG
"Unfortunately, if I take the above JSON and try to de-serialise it back into my object model, I get the following exception: 
Could not read JSON: Could not resolve type id 'creditCardPayment' into a subtype of [simple type, class Payment] at [Source: org.apache.catalina.connector.CoyoteInputStream@19629355; line: 1, column: 58] (through reference chain: Order[""payment""]); nested exception is com.fasterxml.jackson.databind.JsonMappingException: Could not resolve type id 'creditCardPayment' into a subtype of [simple type, class Payment] at [Source: org.apache.catalina.connector.CoyoteInputStream@19629355; line: 1, column: 58] (through reference chain: Order[""payment""]) My application is configured via Spring JavaConf, as follows: CODESNIPPET_JAVA3 .",none,,reliability,NEG
I looked all over the GWT docs and 'the Googles' to see if AutoBeans even has polymorphic support but couldn't get an answer either way.,documentation,NEG,community,POS
Apache Jersey has decent JAXB support.,compatibility,POS,community,POS
Tools used: Spring-Roo: for rapid prototyping ( URL_http://projects.spring.io/spring-roo/ [ URL_http://projects.spring.io/spring-roo/ ] ) Spring Tool Suite Spring Maven Tomcat SqlServer Hibernate All of these tools work really well together to develop a web service.,compatibility functional,POS POS,compatibility,POS
"An alternate solution (works with spring 3.1), which is less invasive in your spring config : CODESNIPPET_JAVA1 .",none,,compatibility,POS
"BTW, I'm working with Spring MVC.",none,,compatibility,POS
It seems on official jersey site ( URL_http://jersey.java.net/nonav/documentation/latest/json.html ) the documentation is pretty old.,documentation,NEG,documentation,POS
"URL_http://www.springsource.org/spring-data/rest [Spring-data-rest] is currently RC1 (heading for GA July 16), but the documentation is still a little sketchy.",documentation,NEG,documentation,NEG
As suggested here: URL_http://stackoverflow.com/questions/1601992/spring-3 -json-with-mvc [Spring-3-JSON-with-MVC] checkout this website: URL_http ://spring-json.sourceforge.net/ [ URL_http://spring-json.sourceforge.net/ ] It has perfectly nice working example on how to do this in spring framework.,functional,POS,documentation,POS
"EclipseLink JAXB (MOXy) offers support for all JAXB constructs in our JSON- binding implementation and it may be a better fit for you use case: 
URL_http://blog.bdoughan.com/2012/05/moxy-as-your-jax-rs-json-provider.html [ URL_http://blog.bdoughan.com/2012/05/moxy-as-your-jax-rs-json-provider.html ] Below is a link to some official Jersey examples that leverage MOXy as the JSON provider: 
URL_https://github.com/jersey/jersey/blob/master/examples/json-moxy/README.html [ URL_https://github.com/jersey/jersey/blob/master/examples/json-moxy/README.html ] .",functional,POS,documentation,POS
"For new version of Maven, if you have dependency problems, here is a good official reference: URL_https://jersey.java.net/documentation/latest/modules- and-dependencies.html#d0e383 [ URL_https://jersey.java.net/documentation/latest /modules-and-dependencies.html#d0e383] (Section 2.3.1, 2.3.2) And also here is a good tutorial for installing maven and tuto of Jersey in eclipse: URL_http://javaposts.wordpress.com/2012/01/14/maven-rest-jersey- eclipse-tutorial/ [ URL_http://javaposts.wordpress.com/2012/01/14/maven-rest - jersey-eclipse-tutorial/] CODESNIPPET_JAVA1 .",documentation,POS,documentation,POS
"I'd like to configure the JSON output using a CODETERM1 as suggested in several questions here on SO, as well as in the URL_http://jersey.java.net/nonav/documentation/latest/user-guide.html#d4e934 [Jersey-User-Guide] .",documentation,POS,documentation,POS
"If you are using the URL_http://jersey.java.net/nonav/documentation/latest/jso n.html#json.jaxb.approach.section [JAXB] approach, you can mark fields with CODETERM1 to omit them.",functional,POS,documentation,NEG
"This is explained in the documentation on the ""Update"" command: URL_http://www.mongodb.org/display/DOCS/Updating#Updating- update%28%29 [ URL_http://www.mongodb.org/display/DOCS/Updating Updating
update%28%29] Unfortunately, I am not familiar with the Spring framework, so I am unable to tell you how to do this with the ""mongoOperations"" class.",documentation,POS,documentation,NEG
This manual could be useful for you: URL_http://jersey.java.net/nonav/documentation/latest /json.html#json.jaxb.approach.section [link] .,documentation,POS,documentation,POS
"URL_http://jersey.java.net/nonav/documentation/latest/user-guide.html#d4e928 [jersey-official-document] has detailed config: To achieve more important JSON format changes, you will need to configure Jersey JSON procesor itself.",documentation,POS,documentation,POS
"I have also faced below error once 
The resource identified by this request is only capable of generating responses with characteristics not acceptable according to the request ""accept"" headers () I have followed URL_http://krams915.blogspot.com/2011/02/spring-3-rest-web- service-provider-and.html [ URL_http://krams915.blogspot.com/2011/02/spring-3-rest - web-service-provider-and.html] tutorial.",none,,documentation,NEG
"see this : URL_https://jersey.java.net/documentation/latest/media.html json
- And these are the easier solutions !.",none,,documentation,POS
