id,identifier,repository,method_path,method_name,quality (evaluator1),good_attributes (evaluator1),bad_attributes (evaluator1),new_name_proposal (evaluator1),notes (evaluator1),quality (evaluator2),good_attributes (evaluator2),bad_attributes (evaluator2),new_name_proposal (evaluator2),notes (evaluator2)
8607,first,ORMLite Core,src/main/java/com/j256/ormlite/stmt/query/In.java,"appendValue(DatabaseType, StringBuilder, List)",2,It is meaningful|It is concise,,nan,nan,1,It is meaningful|It is concise|It is semantically consistent,,nan,nan
8608,value,ORMLite Core,src/main/java/com/j256/ormlite/stmt/query/In.java,"appendValue(DatabaseType, StringBuilder, List)",2,It is meaningful|It is concise,,nan,nan,1,It is meaningful|It is concise|It is consistent with other production code,,nan,nan
8674,first,ORMLite Core,src/main/java/com/j256/ormlite/stmt/mapped/MappedDeleteCollection.java,"appendWhereIds(DatabaseType, FieldType, StringBuilder, int, FieldType[])",2,It is meaningful,It can be misunderstandable,isFirst,nan,2,It is concise,It can be misunderstandable,nan,could refer to the first element of the collection
8675,i,ORMLite Core,src/main/java/com/j256/ormlite/stmt/mapped/MappedDeleteCollection.java,"appendWhereIds(DatabaseType, FieldType, StringBuilder, int, FieldType[])",1,It is meaningful|It is concise,,nan,nan,1,Common loop index,,nan,nan
8738,restoreAutoCommit,ORMLite Core,src/main/java/com/j256/ormlite/misc/TransactionManager.java,"callInTransaction(DatabaseConnection, boolean, DatabaseType, Callable)",1,It is meaningful|It is properly capitalized,,nan,nan,2,It is meaningful|It is properly capitalized,,isRestoredAutoCommit,nan
8739,levelCount,ORMLite Core,src/main/java/com/j256/ormlite/misc/TransactionManager.java,"callInTransaction(DatabaseConnection, boolean, DatabaseType, Callable)",2,It is meaningful|It is properly capitalized,It can be misunderstandable,transactionLevel,"As I see it, this is not just a simple counter and relates to an actual transaction level.",1,It is meaningful|It is concise|It is semantically consistent,,nan,nan
8740,hasSavePoint,ORMLite Core,src/main/java/com/j256/ormlite/misc/TransactionManager.java,"callInTransaction(DatabaseConnection, boolean, DatabaseType, Callable)",1,It is meaningful|It is properly capitalized,,nan,nan,1,It is meaningful|It is concise|It is properly capitalized,,nan,nan
8741,savePoint,ORMLite Core,src/main/java/com/j256/ormlite/misc/TransactionManager.java,"callInTransaction(DatabaseConnection, boolean, DatabaseType, Callable)",1,It is meaningful|It is properly capitalized,,nan,nan,1,It is meaningful|It is concise|It is properly capitalized,,nan,nan
8742,result,ORMLite Core,src/main/java/com/j256/ormlite/misc/TransactionManager.java,"callInTransaction(DatabaseConnection, boolean, DatabaseType, Callable)",1,It is meaningful,,nan,nan,1,It is meaningful|It is concise|It is consistent with other production code,,nan,nan
8803,size,ORMLite Core,src/main/java/com/j256/ormlite/dao/ReferenceObjectCache.java,sizeAll(),1,It is meaningful|It is concise|It is semantically consistent,,nan,nan,1,It is meaningful|It is concise,,nan,nan
8804,objectMap,ORMLite Core,src/main/java/com/j256/ormlite/dao/ReferenceObjectCache.java,sizeAll(),1,It is meaningful|It is concise|It is properly capitalized,,nan,nan,1,It is meaningful|It expresses the collection type,,nan,nan
8885,iterator,ORMLite Core,src/main/java/com/j256/ormlite/dao/LazyForeignCollection.java,remove(Object),2,,,nan,It is too general,1,It is meaningful|Refers to a pattern,,nan,refers to the iterator pattern
8902,objectMap,ORMLite Core,src/main/java/com/j256/ormlite/dao/LruObjectCache.java,"remove(Class, ID)",1,It is meaningful|It is concise|It is properly capitalized|It is consistent with other production code,,nan,nan,1,It is meaningful|It expresses the collection type,,nan,nan
